RANK,NAME,TEAM,POS
1,Bijan Robinson,ATL,RB1
2,Breece Hall,NYJ,RB2
3,CeeDee Lamb,DAL,WR1
4,Amon-Ra St. Brown,DET,WR2
5,Saquon Barkley,PHI,RB3
6,Jonathan Taylor,IND,RB4
7,Justin Jefferson,MIN,WR3
8,Ja'Marr Chase,CIN,WR4
9,De'Von Achane,MIA,RB5
10,Jahmyr Gibbs,DET,RB6
11,Alvin Kamara,NO,RB7
12,Mike Evans,TB,WR5
13,Tyreek Hill,MIA,WR6
14,A.J. Brown,PHI,WR7
15,Joe Mixon,HOU,RB8
16,Trey McBride,ARI,TE1
17,Garrett Wilson,NYJ,WR8
18,James Cook,BUF,RB9
19,Kyren Williams,LAR,RB10
20,Rashee Rice,KC,WR9
21,Nico Collins,HOU,WR10
22,Travis Etienne Jr.,JAC,RB11
23,Davante Adams,LV,WR11
24,Josh Jacobs,GB,RB12
25,DeVonta Smith,PHI,WR12
26,Chris Olave,NO,WR13
27,Marvin Harrison Jr.,ARI,WR14
28,Sam LaPorta,DET,TE2
29,Derrick Henry,BAL,RB13
30,Malik Nabers,NYG,WR15
31,James Conner,ARI,RB14
32,Christian McCaffrey,SF,RB15
33,Rhamondre Stevenson,NE,RB16
34,Drake London,ATL,WR16
35,Travis Kelce,KC,TE3
36,Kenneth Walker III,SEA,RB17
37,Chris Godwin,TB,WR17
38,Aaron Jones,MIN,RB18
39,Rachaad White,TB,RB19
40,DK Metcalf,SEA,WR18
41,Jaylen Waddle,MIA,WR19
42,Brian Robinson Jr.,WAS,RB20
43,Brandon Aiyuk,SF,WR20
44,Josh Allen,BUF,QB1
45,David Montgomery,DET,RB21
46,Jordan Mason,SF,RB22
47,Patrick Mahomes II,KC,QB2
48,Brock Bowers,LV,TE4
49,Michael Pittman Jr.,IND,WR21
50,DJ Moore,CHI,WR22
51,Jalen Hurts,PHI,QB3
52,Tony Pollard,TEN,RB23
53,Stefon Diggs,HOU,WR23
54,Deebo Samuel Sr.,SF,WR24
55,Mark Andrews,BAL,TE5
56,J.K. Dobbins,LAC,RB24
57,D'Andre Swift,CHI,RB25
58,Zay Flowers,BAL,WR25
59,Lamar Jackson,BAL,QB4
60,Najee Harris,PIT,RB26
61,Devin Singletary,NYG,RB27
62,Kyle Pitts,ATL,TE6
63,Amari Cooper,CLE,WR26
64,George Pickens,PIT,WR27
65,Terry McLaurin,WAS,WR28
66,Jaylen Warren,PIT,RB28
67,C.J. Stroud,HOU,QB5
68,Javonte Williams,DEN,RB29
69,Cooper Kupp,LAR,WR29
70,Zack Moss,CIN,RB30
71,Tank Dell,HOU,WR30
72,Dalton Kincaid,BUF,TE7
73,Jerome Ford,CLE,RB31
74,Isiah Pacheco,KC,RB32
75,Anthony Richardson,IND,QB6
76,Jaxon Smith-Njigba,SEA,WR31
77,Kyler Murray,ARI,QB7
78,Jayden Reed,GB,WR32
79,Jameson Williams,DET,WR33
80,George Kittle,SF,TE8
81,Puka Nacua,LAR,WR34
82,Zach Charbonnet,SEA,RB33
83,Xavier Worthy,KC,WR35
84,Jayden Daniels,WAS,QB8
85,Brian Thomas Jr.,JAC,WR36
86,Raheem Mostert,MIA,RB34
87,Tee Higgins,CIN,WR37
88,Christian Kirk,JAC,WR38
89,Austin Ekeler,WAS,RB35
90,Calvin Ridley,TEN,WR39
91,Chase Brown,CIN,RB36
92,Evan Engram,JAC,TE9
93,Tyjae Spears,TEN,RB37
94,Zamir White,LV,RB38
95,Keenan Allen,CHI,WR40
96,Chuba Hubbard,CAR,RB39
97,Joe Burrow,CIN,QB9
98,Diontae Johnson,CAR,WR41
99,Ezekiel Elliott,DAL,RB40
100,Dak Prescott,DAL,QB10
101,Rashid Shaheed,NO,WR42
102,Rico Dowdle,DAL,RB41
103,Gus Edwards,LAC,RB42
104,Christian Watson,GB,WR43
105,Rome Odunze,CHI,WR44
106,Ladd McConkey,LAC,WR45
107,Jonathon Brooks,CAR,RB43
108,Nick Chubb,CLE,RB44
109,Brock Purdy,SF,QB11
110,Jared Goff,DET,QB12
111,Jaleel McLaughlin,DEN,RB45
112,Jordan Love,GB,QB13
113,DeAndre Hopkins,TEN,WR46
114,Khalil Shakir,BUF,WR47
115,Dallas Goedert,PHI,TE10
116,Demarcus Robinson,LAR,WR48
117,Baker Mayfield,TB,QB14
118,Jake Ferguson,DAL,TE11
119,Courtland Sutton,DEN,WR49
120,Tyler Allgeier,ATL,RB46
121,Tyler Lockett,SEA,WR50
122,Pat Freiermuth,PIT,TE12
123,Jordan Addison,MIN,WR51
124,Brandin Cooks,DAL,WR52
125,David Njoku,CLE,TE13
126,Keon Coleman,BUF,WR53
127,Antonio Gibson,NE,RB47
128,Trevor Lawrence,JAC,QB15
129,Blake Corum,LAR,RB48
130,Ty Chandler,MIN,RB49
131,Caleb Williams,CHI,QB16
132,Jerry Jeudy,CLE,WR54
133,Joshua Palmer,LAC,WR55
134,Romeo Doubs,GB,WR56
135,Trey Benson,ARI,RB50
136,Bucky Irving,TB,RB51
137,Ray Davis,BUF,RB52
138,Jakobi Meyers,LV,WR57
139,Derek Carr,NO,QB17
140,Geno Smith,SEA,QB18
141,Justin Herbert,LAC,QB19
142,Isaiah Likely,BAL,TE14
143,Braelon Allen,NYJ,RB53
144,Justin Fields,PIT,QB20
145,Mike Williams,NYJ,WR58
146,Matthew Stafford,LAR,QB21
147,Hunter Henry,NE,TE15
148,Quentin Johnston,LAC,WR59
149,Darnell Mooney,ATL,WR60
150,Josh Downs,IND,WR61
151,Tank Bigsby,JAC,RB54
152,Khalil Herbert,CHI,RB55
153,MarShawn Lloyd,GB,RB56
154,Jaylen Wright,MIA,RB57
155,Dalton Schultz,HOU,TE16
156,Gabe Davis,JAC,WR61
157,Sam Darnold,MIN,QB22
158,Justice Hill,BAL,RB58
159,Kirk Cousins,ATL,QB23
160,Aaron Rodgers,NYJ,QB24